bus,vm_pu,va_degree,p_mw,q_mvar
1,0.979700,-0.064938,-9.409227,-3.718696
2,1.000391,-0.000305,19.094550,5.692366
3,0.980697,-0.065287,-0.000014,-0.000077
4,0.980602,-0.065059,0.000021,0.000065
5,0.980550,-0.066054,0.000017,-0.000031
6,0.980749,-0.064287,-0.011517,-0.006012
7,0.979452,-0.065620,-0.035826,-0.018416
8,0.979823,-0.064398,-0.013147,-0.006766
9,0.979581,-0.065291,-0.548317,-0.281005
10,0.979460,-0.065750,-2.432964,-1.246382
11,0.979121,-0.065687,-0.345198,-0.176770
12,0.979125,-0.067465,-0.001397,-0.000772
13,0.979270,-0.065480,-0.022127,-0.008716
14,0.980172,-0.064851,-0.985992,-0.469431
15,0.978191,-0.066837,-0.013286,-0.006726
16,0.980573,-0.064906,-0.014425,-0.007360
17,0.979198,-0.065059,-0.002911,-0.001527
18,0.980035,-0.066065,-0.010582,-0.005334
19,0.978235,-0.067107,-0.036874,-0.018879
20,0.980244,-0.064854,-0.126212,-0.028861
21,0.977743,-0.066530,-0.000781,-0.000344
22,0.978834,-0.065363,-0.006037,-0.002391
23,0.978715,-0.066479,-0.046635,-0.023816
24,0.978269,-0.065848,-0.047309,-0.018741
25,0.978822,-0.066109,-0.007883,-0.003098
26,0.980251,-0.065626,-0.023289,-0.011967
27,0.980603,-0.064478,-0.004452,-0.002253
28,0.978432,-0.067137,-0.022949,-0.011749
29,0.979596,-0.064877,-0.027832,-0.014303
30,0.980863,-0.065395,-0.119768,-0.061309
31,0.978927,-0.065136,-0.022904,-0.011707
32,0.981169,-0.065320,-0.071064,-0.036373
33,0.980101,-0.066304,-0.424457,-0.181698
34,0.978264,-0.066880,-0.000541,-0.000240
35,0.977821,-0.066598,-0.006398,-0.003361
36,0.979624,-0.065488,-0.007546,-0.003812
37,0.980982,-0.065891,-0.005281,-0.002119
38,0.978505,-0.066405,-0.051920,-0.026572
39,0.979805,-0.065544,-0.152451,-0.078084
40,0.977704,-0.066696,-0.010846,-0.004324
41,0.978749,-0.067231,-0.010282,-0.004085
42,0.978604,-0.065431,-0.000694,-0.000238
43,0.978062,-0.067742,-0.054815,-0.028034
44,0.978423,-0.067138,-0.033495,-0.017192
45,0.977854,-0.066750,-0.001517,-0.000603
46,0.979884,-0.065640,-0.065374,-0.033407
47,0.978044,-0.066212,-0.167620,-0.085876
