bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000358,0.000481,7.516757,-0.004665
2,0.963132,-0.012368,-0.000042,0.000027
3,0.962501,-0.019464,-3.772417,-0.049904
4,0.961479,-0.014131,-0.669684,0.000061
5,0.962598,-0.014366,-0.669697,-0.000055
6,0.963580,-0.017806,-1.726239,0.063103
7,0.962120,-0.014757,-0.669719,0.000023
8,0.971131,-0.019484,0.000056,0.000004
9,0.999961,-0.000007,19.855705,-1.801372
10,0.971712,-0.017414,-0.669763,-0.000033
11,0.972032,-0.016888,-0.669718,-0.000005
12,0.969759,-0.019020,-0.000042,-0.000039
13,0.970583,-0.019241,0.000053,0.000093
14,0.994918,-0.026046,-3.219273,0.133492
15,0.971215,-0.017604,-0.000020,0.000034
16,0.971238,-0.020224,0.000055,-0.000129
17,0.997453,-0.021527,-0.162727,0.107136
18,0.971610,-0.021071,-0.000070,0.000011
19,0.970895,-0.024096,-0.000045,-0.000038
20,1.020731,-0.036878,-2.938369,0.148170
21,0.970610,-0.016974,0.000037,-0.000109
22,1.019450,-0.022367,-4.291269,-0.042010
23,0.971321,-0.017161,0.000075,0.000030
24,1.020994,-0.020220,-2.607691,0.105868
25,0.970877,-0.016668,0.000029,-0.000003
26,1.021769,-0.019360,-1.425759,0.236291
27,0.971687,-0.018062,0.000034,-0.000041
28,0.994350,-0.024045,-2.260309,0.011320
29,0.970488,-0.019837,0.000143,0.000072
30,1.021264,-0.026758,-1.556335,0.096524
31,0.999835,-0.000562,15.249932,2.489890
32,0.962621,-0.002311,0.000028,-0.000012
33,0.940181,-0.023582,-0.000054,-0.000081
34,0.962707,-0.002947,-1.251372,-0.214532
35,0.939030,-0.023692,-0.669708,-0.114869
36,0.942116,-0.039988,-3.968772,-0.680430
37,0.922393,-0.026674,-0.000013,0.000070
38,0.956249,-0.036027,-8.018827,-1.374615
39,0.919691,-0.026763,-0.669688,-0.114760
40,0.942125,-0.027267,-0.464690,-0.079776
