bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000409,0.000481,9.458280,0.238137
2,0.961028,-0.016465,-0.173292,-0.000021
3,0.957329,-0.028181,-7.073607,-0.190133
4,0.960302,-0.016703,-0.173224,0.000015
5,0.960155,-0.016693,-0.173276,-0.000077
6,0.959711,-0.022643,-1.851404,-0.018071
7,0.960068,-0.015811,-0.000026,0.000036
8,0.964205,-0.027372,-0.000069,0.000016
9,1.000315,-0.000914,27.498229,-0.811799
10,0.966377,-0.023762,-0.000009,-0.000034
11,0.966465,-0.023104,-0.000078,-0.000024
12,0.964210,-0.025677,-0.173305,-0.000025
13,0.965298,-0.026661,0.000078,-0.000009
14,0.985477,-0.036881,-5.001136,-0.069079
15,0.966881,-0.025388,0.000104,0.000016
16,0.963318,-0.028172,-0.173327,-0.000041
17,0.988439,-0.032784,-0.935310,0.067019
18,0.963740,-0.028213,-0.000022,0.000021
19,0.961698,-0.030840,0.000024,-0.000013
20,1.007122,-0.047261,-3.761469,-0.027211
21,0.966434,-0.024285,-0.000002,0.000068
22,1.011558,-0.030463,-5.769229,-0.198072
23,0.966629,-0.023162,0.000015,0.000050
24,1.014201,-0.028525,-3.822330,-0.000449
25,0.966191,-0.024452,-0.000075,-0.000074
26,1.014887,-0.027596,-3.108584,0.149006
27,0.966805,-0.023434,-0.000014,0.000051
28,0.989430,-0.028815,-1.648890,-0.010718
29,0.963831,-0.027309,-0.000036,0.000067
30,1.008961,-0.040256,-3.003082,-0.026439
31,0.999339,0.000099,16.271699,2.714036
32,0.962567,-0.002510,0.000085,0.000038
33,0.937543,-0.025314,0.000031,-0.000024
34,0.962340,-0.001392,-1.178117,-0.201921
35,0.936717,-0.025415,-0.173429,-0.029660
36,0.933866,-0.046078,-4.880186,-0.836596
37,0.918176,-0.028537,-0.000044,-0.000042
38,0.950586,-0.040858,-9.827407,-1.684675
39,0.917795,-0.028883,-0.173230,-0.029627
40,0.942530,-0.027769,0.211499,0.036283
