bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000328,-0.000291,-0.000046,-0.000082
2,0.999913,0.000147,0.000009,-0.000041
3,0.999572,-0.000496,-0.000042,0.000053
4,0.999380,0.000110,0.000064,-0.000076
5,0.999562,0.000104,-0.000095,0.000054
6,0.999535,0.000292,0.000063,0.000060
7,1.000736,0.001051,9.923689,3.272289
8,1.000391,0.000419,-0.000054,-0.000069
9,1.000611,0.000012,0.000015,0.000041
10,1.000488,-0.000461,-0.000006,-0.000030
11,0.997567,-0.001053,0.000019,-0.000005
12,0.998275,-0.000705,-0.294755,-0.096945
13,0.997820,-0.001137,-0.699776,-0.230036
14,0.997146,-0.000482,-1.013926,-0.333226
15,0.997260,-0.000354,-0.461515,-0.151847
16,0.995916,-0.000770,0.000002,0.000013
17,0.995009,-0.001268,-0.889261,-0.292280
18,0.993928,-0.000626,-0.000049,0.000050
19,0.994738,-0.001762,-0.000085,-0.000015
20,0.994252,-0.000712,-0.736664,-0.242166
21,0.995336,-0.000356,0.000017,-0.000002
22,0.995679,-0.000799,-1.600736,-0.526124
23,0.994329,-0.001338,-0.805286,-0.264794
24,0.995737,-0.000555,-0.189421,-0.062259
25,0.992126,-0.000694,-1.289053,-0.423761
26,0.992435,-0.000717,-1.038600,-0.341300
27,0.993444,-0.001053,-0.000012,0.000022
28,0.993680,-0.001691,-0.490985,-0.161311
29,0.993150,0.000013,0.000033,0.000043
30,0.992560,-0.001188,-0.368207,-0.120875
