bus,vm_pu,va_degree,p_mw,q_mvar
1,0.970146,-0.082762,-11.560570,-4.569018
2,0.999896,0.000595,24.229681,8.906980
3,0.970504,-0.083984,-0.000002,0.000028
4,0.970688,-0.082852,-0.000014,0.000094
5,0.969852,-0.083815,-0.000019,-0.000038
6,0.971069,-0.083196,-0.011155,-0.005723
7,0.969075,-0.083189,-0.043346,-0.022248
8,0.969407,-0.083806,-0.015794,-0.008172
9,0.969934,-0.084359,-0.756937,-0.387897
10,0.968625,-0.084794,-3.373196,-1.728146
11,0.968696,-0.084446,-0.513087,-0.262720
12,0.966834,-0.085423,-0.001536,-0.000806
13,0.969281,-0.084260,-0.020761,-0.008266
14,0.969949,-0.083035,-1.206101,-0.562204
15,0.965909,-0.085525,-0.013383,-0.006797
16,0.970016,-0.084701,-0.015525,-0.007881
17,0.969591,-0.083804,-0.004200,-0.002262
18,0.968830,-0.083954,-0.008964,-0.004615
19,0.966967,-0.085173,-0.040189,-0.020551
20,0.969416,-0.084643,-0.674339,-0.289778
21,0.968132,-0.085799,-0.000920,-0.000375
22,0.969479,-0.083459,-0.006259,-0.002445
23,0.967152,-0.085563,-0.052439,-0.026808
24,0.967946,-0.085068,-0.055222,-0.021795
25,0.967952,-0.084417,-0.007297,-0.002965
26,0.969715,-0.083490,-0.022845,-0.011742
27,0.970739,-0.083878,-0.007084,-0.003616
28,0.967872,-0.085653,-0.032995,-0.016952
29,0.970279,-0.083541,-0.035794,-0.018292
30,0.968091,-0.084469,-0.113502,-0.058207
31,0.968710,-0.084269,-0.027967,-0.014364
32,0.970589,-0.083094,-0.081542,-0.041785
33,0.968419,-0.083952,-0.581108,-0.242047
34,0.967551,-0.085568,-0.001372,-0.000714
35,0.967851,-0.085232,-0.006135,-0.003043
36,0.970954,-0.083289,-0.006462,-0.003339
37,0.970262,-0.083590,-0.001614,-0.000646
38,0.967178,-0.085163,-0.042544,-0.021791
39,0.969598,-0.083488,-0.156561,-0.080198
40,0.967893,-0.085131,-0.013116,-0.005195
41,0.967186,-0.084937,-0.011502,-0.004564
42,0.967591,-0.085317,-0.002196,-0.001032
43,0.968140,-0.085630,-0.083940,-0.043001
44,0.967182,-0.085256,-0.023701,-0.012183
45,0.969341,-0.085383,-0.001470,-0.000516
46,0.968849,-0.083734,-0.080211,-0.041083
47,0.968514,-0.085258,-0.370704,-0.189954
48,0.969589,-0.083285,-0.000454,-0.000192
49,0.968945,-0.083478,-0.048569,-0.024857
50,0.970235,-0.083276,-0.005054,-0.002559
51,0.971095,-0.083688,-0.014615,-0.005793
52,0.969977,-0.083232,-0.000742,-0.000421
53,0.967068,-0.085412,-0.142045,-0.072809
54,0.969637,-0.083581,-0.016431,-0.006437
55,0.970354,-0.082700,-0.037962,-0.019336
56,0.968669,-0.083991,-0.008712,-0.004443
57,0.969840,-0.084390,-0.005917,-0.003077
58,0.967978,-0.084708,-0.011887,-0.006115
59,0.967436,-0.085053,-0.019862,-0.007846
60,0.968276,-0.085994,-0.008846,-0.003532
61,0.969472,-0.082846,-0.674854,-0.290100
62,0.970907,-0.083473,-0.001768,-0.000907
63,0.967905,-0.085280,-0.000203,-0.000080
64,0.969488,-0.083013,-0.244676,-0.125344
65,0.969751,-0.083096,-0.572948,-0.237857
66,0.969832,-0.083283,-0.224961,-0.115348
67,0.969947,-0.083982,-0.028092,-0.014378
68,0.967752,-0.084746,-0.097925,-0.050043
69,0.968423,-0.083468,-0.016052,-0.006345
70,0.968917,-0.083534,-0.015434,-0.007968
71,0.968265,-0.085070,-0.008034,-0.004074
72,0.968068,-0.085297,-0.010194,-0.005216
73,0.968347,-0.085471,-0.009067,-0.003399
74,0.968236,-0.085127,-0.005513,-0.002846
75,0.967749,-0.085086,-0.063697,-0.032613
76,0.969179,-0.082934,-0.006848,-0.003537
77,0.970568,-0.084267,-0.014132,-0.007202
78,0.969859,-0.083794,-0.038234,-0.019645
