bus,vm_pu,va_degree,p_mw,q_mvar
1,0.978726,-0.068236,-9.409213,-3.718744
2,1.000039,0.000432,19.907542,6.478043
3,0.977523,-0.068128,0.000027,-0.000028
4,0.977912,-0.067876,0.000071,-0.000043
5,0.978497,-0.067362,0.000132,0.000022
6,0.978103,-0.067869,-0.021317,-0.010977
7,0.977100,-0.068106,-0.053254,-0.027257
8,0.976506,-0.068088,-0.014059,-0.007233
9,0.976675,-0.068116,-0.346113,-0.177354
10,0.977549,-0.069135,-2.225830,-1.140319
11,0.977194,-0.067776,-0.429997,-0.220422
12,0.974882,-0.069949,-0.001995,-0.000996
13,0.977298,-0.068210,-0.022432,-0.008925
14,0.977117,-0.067963,-1.041604,-0.528406
15,0.974530,-0.070236,-0.019850,-0.010187
16,0.978635,-0.067860,-0.015353,-0.007873
17,0.977275,-0.068631,-0.006341,-0.003223
18,0.977005,-0.068209,-0.010315,-0.005215
19,0.975131,-0.070296,-0.043331,-0.022199
20,0.976543,-0.068162,-0.965552,-0.489255
21,0.974308,-0.070364,-0.000474,-0.000108
22,0.976809,-0.068461,-0.004353,-0.001744
23,0.974809,-0.070514,-0.075116,-0.038500
24,0.974360,-0.069591,-0.057227,-0.022594
25,0.975755,-0.069766,-0.004526,-0.001801
26,0.977643,-0.067959,-0.031062,-0.015896
27,0.977276,-0.067980,-0.002966,-0.001471
28,0.974716,-0.071012,-0.069206,-0.035468
29,0.977937,-0.068283,-0.025749,-0.013201
30,0.977620,-0.068883,-0.133910,-0.068606
31,0.976631,-0.067898,-0.013965,-0.007206
32,0.978015,-0.068898,-0.097188,-0.049938
33,0.977574,-0.068181,-0.375514,-0.187044
34,0.974199,-0.069906,-0.002560,-0.001263
35,0.975791,-0.070363,-0.012684,-0.006512
36,0.977696,-0.067739,-0.007038,-0.003495
37,0.977632,-0.067283,-0.001212,-0.000503
38,0.975105,-0.069500,-0.068725,-0.035209
39,0.977833,-0.068356,-0.108659,-0.055553
40,0.975386,-0.069986,-0.010419,-0.004095
41,0.976165,-0.069848,-0.012315,-0.004895
42,0.974114,-0.069997,-0.008454,-0.004322
43,0.975403,-0.069052,-0.116010,-0.059402
44,0.975393,-0.070471,-0.028229,-0.014460
45,0.975627,-0.069732,-0.000976,-0.000428
46,0.977227,-0.067904,-0.072011,-0.036876
47,0.974096,-0.069671,-0.265140,-0.135896
48,0.976826,-0.068647,-0.001491,-0.000788
49,0.977298,-0.068257,-0.023538,-0.012015
50,0.977127,-0.068622,-0.000292,-0.000125
51,0.977799,-0.068101,-0.014800,-0.005802
52,0.976941,-0.067451,-0.017892,-0.009276
53,0.975396,-0.069820,-0.169893,-0.087095
54,0.977845,-0.068521,-0.006436,-0.002488
55,0.977943,-0.068662,-0.028649,-0.014622
56,0.976761,-0.068438,-0.008312,-0.004272
57,0.977148,-0.067304,-0.007336,-0.003798
58,0.976287,-0.070330,-0.007116,-0.003626
59,0.974305,-0.069574,-0.026299,-0.010410
60,0.974739,-0.069770,-0.012741,-0.005081
61,0.976856,-0.068001,-0.633681,-0.319376
62,0.978926,-0.068933,-0.004788,-0.002546
63,0.974650,-0.070151,-0.000475,-0.000245
64,0.977399,-0.067258,-0.216744,-0.110984
65,0.977603,-0.068604,-0.357684,-0.177984
66,0.977429,-0.067873,-0.188436,-0.096504
67,0.977516,-0.067957,-0.033778,-0.017365
68,0.974758,-0.070253,-0.093370,-0.047922
69,0.977379,-0.067876,-0.013272,-0.005219
70,0.977388,-0.067850,-0.033402,-0.017125
71,0.973954,-0.070154,-0.009778,-0.005007
72,0.975070,-0.069639,-0.030289,-0.015482
73,0.974447,-0.070383,-0.006173,-0.002450
74,0.974984,-0.070339,-0.004412,-0.002307
75,0.974124,-0.069247,-0.117224,-0.059956
76,0.977521,-0.068091,-0.007605,-0.003923
77,0.979164,-0.067996,-0.010792,-0.005477
78,0.977427,-0.068466,-0.126138,-0.064601
79,0.977805,-0.069020,-0.125286,-0.064277
80,0.975500,-0.069643,-0.000037,0.000073
81,0.975320,-0.071073,-0.000614,-0.000309
82,0.977299,-0.068292,-0.007896,-0.004109
83,0.976607,-0.068965,-0.031717,-0.016368
84,0.977295,-0.068966,-0.006005,-0.003125
85,0.975002,-0.069675,-0.000002,0.000019
86,0.978095,-0.068470,-0.050074,-0.019750
87,0.977058,-0.068486,-0.048093,-0.024618
88,0.978319,-0.069011,-0.013882,-0.007178
89,0.978044,-0.068391,-0.010449,-0.005418
90,0.976837,-0.068944,-0.011688,-0.005890
91,0.974763,-0.069832,-0.034394,-0.017617
92,0.975141,-0.070093,-0.002909,-0.001550
93,0.976249,-0.068960,-0.028191,-0.014418
94,0.974932,-0.069758,-0.049022,-0.025121
95,0.977657,-0.067806,-0.171812,-0.088018
96,0.974255,-0.070370,-0.012973,-0.005160
97,0.974360,-0.069831,-0.017365,-0.008899
98,0.975281,-0.069497,-0.047764,-0.018867
99,0.976874,-0.068153,-0.285935,-0.141188
100,0.976745,-0.067582,-0.019037,-0.009778
101,0.976170,-0.067621,-0.048609,-0.019291
102,0.976686,-0.068645,-0.217632,-0.106174
103,0.977043,-0.069301,-0.025234,-0.009968
104,0.973970,-0.069398,-0.119458,-0.047231
105,0.976461,-0.068227,-0.001484,-0.000765
106,0.977427,-0.067886,-0.000057,-0.000031
107,0.977495,-0.067949,-0.000024,-0.000001
108,0.977770,-0.068567,-0.000005,-0.000109
109,0.976964,-0.067518,0.000034,-0.000000
110,0.975434,-0.069804,-0.000002,-0.000041
111,0.973885,-0.069847,-0.000010,0.000082
112,0.976824,-0.068059,-0.000106,0.000006
113,0.977527,-0.068105,-0.000024,-0.000053
114,0.975214,-0.069316,0.000111,-0.000058
115,0.975083,-0.069255,-0.000006,-0.000001
116,0.977097,-0.067706,-0.000016,-0.000025
117,0.974560,-0.069507,0.000063,-0.000015
118,0.977974,-0.067409,0.000002,-0.000063
119,0.977279,-0.067765,-0.000040,-0.000013
120,0.976518,-0.068472,-0.000016,-0.000004
121,0.977824,-0.068345,0.000052,0.000052
122,0.976998,-0.067349,0.000078,-0.000023
123,0.977740,-0.067651,-0.000057,0.000083
124,0.976885,-0.067680,-0.000011,0.000061
125,0.977491,-0.067711,0.000054,0.000019
126,0.975033,-0.070831,0.000014,0.000065
127,0.977327,-0.067991,-0.000006,0.000062
128,0.974214,-0.069237,-0.000054,-0.000036
129,0.974233,-0.069535,0.000065,-0.000055
130,0.974596,-0.070373,-0.000005,-0.000075
131,0.978190,-0.067222,-0.000044,-0.000038
132,0.975630,-0.069244,-0.000008,-0.000009
133,0.976882,-0.068087,-0.000061,-0.000128
134,0.977731,-0.067608,-0.000012,-0.000077
135,0.975321,-0.070575,0.000041,0.000038
136,0.974864,-0.069359,0.000029,-0.000063
137,0.975613,-0.070166,-0.000019,0.000058
138,0.975096,-0.071021,-0.000083,-0.000075
139,0.974384,-0.069957,-0.000115,0.000050
140,0.976958,-0.068490,0.000050,-0.000045
141,0.974228,-0.069724,-0.000019,0.000092
142,0.974486,-0.069226,0.000029,0.000054
143,0.975447,-0.069978,0.000061,-0.000004
144,0.978532,-0.067726,-0.000132,0.000061
145,0.978300,-0.067753,-0.000003,-0.000000
146,0.977618,-0.068101,0.000059,0.000009
147,0.977941,-0.068782,0.000091,-0.000044
148,0.976922,-0.069028,-0.000072,0.000089
149,0.975455,-0.070017,-0.000076,-0.000048
150,0.975322,-0.070725,-0.000010,0.000005
151,0.977511,-0.067980,-0.000003,0.000028
152,0.976983,-0.067797,-0.000064,-0.000123
153,0.977172,-0.067762,-0.000028,-0.000059
154,0.977521,-0.068123,0.000100,0.000058
155,0.974552,-0.069459,-0.000062,0.000088
156,0.977182,-0.068206,-0.000053,0.000049
157,0.978249,-0.068025,-0.000006,-0.000019
158,0.977441,-0.068515,-0.000125,-0.000008
159,0.974925,-0.069469,-0.000016,0.000055
160,0.978705,-0.067573,-0.000006,-0.000013
161,0.977388,-0.069230,-0.000047,-0.000033
162,0.975253,-0.069842,0.000050,-0.000069
163,0.978715,-0.069293,0.000038,0.000029
164,0.976919,-0.068338,-0.000009,-0.000058
165,0.977960,-0.069632,-0.000035,-0.000013
166,0.977575,-0.067767,0.000025,-0.000102
167,0.974761,-0.070772,-0.000003,0.000026
168,0.977273,-0.069500,-0.000077,0.000004
169,0.977473,-0.067974,-0.000093,0.000063
170,0.977734,-0.068383,-0.000029,0.000003
171,0.974971,-0.069663,-0.000010,0.000073
172,0.975242,-0.070011,-0.000146,0.000025
173,0.978068,-0.068363,-0.000021,0.000020
174,0.974883,-0.070746,0.000047,-0.000023
175,0.975426,-0.069937,0.000010,0.000015
176,0.977276,-0.068415,0.000027,-0.000070
177,0.975056,-0.070396,0.000003,-0.000030
178,0.974834,-0.069813,-0.000035,-0.000103
179,0.977355,-0.067928,-0.000037,-0.000046
180,0.978284,-0.068332,-0.000058,0.000070
181,0.975026,-0.069632,-0.000022,-0.000010
182,0.975363,-0.069566,-0.000004,0.000018
183,0.976841,-0.068706,-0.000081,0.000000
184,0.977079,-0.067553,-0.000031,0.000062
185,0.976899,-0.067339,-0.000089,-0.000068
186,0.974941,-0.070133,-0.000003,-0.000024
