bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999812,0.000028,-0.000057,-0.000122
2,1.000472,0.000440,-0.000108,0.000025
3,1.000507,0.000462,-0.000013,-0.000005
4,0.999486,0.000509,-0.000015,0.000089
5,0.999765,-0.001464,-0.000001,-0.000018
6,1.000778,0.000037,-0.000035,0.000032
7,0.999399,-0.000462,13.628769,4.499259
8,0.999979,-0.000007,-0.000031,0.000077
9,1.000413,-0.000181,0.000026,-0.000001
10,1.000632,-0.000193,0.000039,0.000104
11,0.996244,-0.001101,-0.000031,-0.000024
12,0.998594,-0.000432,-0.494507,-0.162587
13,0.995810,-0.001072,-0.913739,-0.300376
14,0.995288,-0.001144,-1.433755,-0.471210
15,0.996257,-0.000220,-0.602768,-0.198181
16,0.994775,-0.001945,-0.000057,-0.000011
17,0.991728,-0.000633,-1.263864,-0.415409
18,0.992121,-0.001770,-0.000082,-0.000026
19,0.992931,-0.001807,0.000058,0.000057
20,0.992152,-0.001342,-0.961904,-0.316213
21,0.993607,-0.000845,-0.000121,-0.000025
22,0.994245,-0.001399,-2.200052,-0.723125
23,0.993506,-0.001242,-1.161322,-0.381833
24,0.994107,-0.001812,-0.240420,-0.079090
25,0.991252,-0.001607,-1.683299,-0.553269
26,0.990902,-0.002466,-1.356100,-0.445695
27,0.991288,-0.002129,-0.000011,-0.000094
28,0.989821,-0.002159,-0.750834,-0.246693
29,0.990518,-0.001762,-0.000033,-0.000007
30,0.990510,-0.000830,-0.480959,-0.157971
