bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000539,-0.000151,0.000020,-0.000049
2,1.000718,-0.000370,0.000009,-0.000068
3,0.999431,0.000270,-0.000035,0.000005
4,0.999755,-0.000216,-0.000050,-0.000004
5,1.000611,0.000397,-0.000086,-0.000018
6,0.999843,-0.000093,-0.000050,0.000118
7,1.000493,0.000283,14.474708,4.779757
8,1.000185,0.000112,-0.000096,-0.000078
9,1.000140,0.000041,-0.000007,0.000026
10,0.999707,0.000408,-0.000076,-0.000061
11,0.996928,-0.000938,0.000088,-0.000150
12,0.998681,0.000015,-0.510956,-0.168029
13,0.995942,-0.001847,-0.977404,-0.321172
14,0.995844,-0.000827,-1.515599,-0.498236
15,0.994398,0.000125,-0.644629,-0.212084
16,0.993544,-0.001281,0.000010,-0.000019
17,0.992131,-0.000776,-1.333919,-0.438519
18,0.992573,-0.001838,-0.000043,-0.000002
19,0.991922,-0.001099,-0.000029,0.000050
20,0.991769,-0.001826,-1.028781,-0.338145
21,0.994917,-0.001448,0.000002,-0.000018
22,0.993135,-0.001468,-2.335248,-0.767562
23,0.993963,-0.001775,-1.224305,-0.402435
24,0.993912,-0.001227,-0.257118,-0.084500
25,0.990605,-0.001469,-1.800314,-0.591732
26,0.990743,-0.001763,-1.450418,-0.476658
27,0.990037,-0.001310,0.000005,-0.000058
28,0.989770,-0.001749,-0.785375,-0.258073
29,0.990300,-0.002192,-0.000025,-0.000042
30,0.991090,-0.002819,-0.514377,-0.169087
