bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000303,0.000511,-0.000087,0.000005
2,1.000747,0.000454,0.000013,-0.000125
3,0.999454,-0.000222,-0.000016,0.000031
4,0.999526,-0.000263,-0.000051,0.000036
5,1.000626,0.001332,0.000035,0.000024
6,0.999220,0.000474,0.000023,-0.000043
7,1.000296,0.000079,14.291296,4.719035
8,1.000266,0.000837,0.000030,0.000006
9,0.999992,0.000018,0.000080,-0.000053
10,1.000341,-0.000360,0.000015,-0.000011
11,0.996639,-0.000349,-0.000014,0.000011
12,0.998192,0.000729,-0.502211,-0.165238
13,0.996636,-0.000188,-0.966312,-0.317675
14,0.995456,-0.001221,-1.495487,-0.491499
15,0.995129,-0.001779,-0.637329,-0.209573
16,0.993968,-0.000489,-0.000002,0.000099
17,0.990795,-0.002093,-1.315935,-0.432510
18,0.992053,-0.001421,0.000045,0.000011
19,0.992211,-0.000993,0.000122,0.000038
20,0.991898,-0.001269,-1.017155,-0.334453
21,0.993140,-0.002059,0.000002,0.000032
22,0.993830,-0.001177,-2.305867,-0.757876
23,0.993078,-0.000646,-1.207314,-0.397026
24,0.993657,-0.001713,-0.254184,-0.083650
25,0.989817,-0.001337,-1.779886,-0.585047
26,0.991553,-0.001492,-1.434088,-0.471242
27,0.990996,-0.001087,0.000044,-0.000061
28,0.989747,-0.002180,-0.773328,-0.254158
29,0.990229,-0.001882,-0.000089,0.000001
30,0.990189,-0.002548,-0.508567,-0.167075
