bus,vm_pu,va_degree,p_mw,q_mvar
1,0.999613,0.000188,6.472540,0.115847
2,0.961680,-0.010674,-0.133803,-0.000055
3,0.960359,-0.019272,-4.650785,-0.094370
4,0.961840,-0.011262,0.000068,0.000053
5,0.961349,-0.011146,-0.133853,-0.000005
6,0.961373,-0.015444,-1.413912,-0.015558
7,0.961506,-0.011439,-0.133868,-0.000144
8,0.966136,-0.020060,0.000078,0.000017
9,0.999902,0.000118,20.113627,-1.017655
10,0.967457,-0.016861,-0.000038,-0.000085
11,0.966600,-0.017558,0.000008,0.000010
12,0.966301,-0.020407,-0.000070,-0.000009
13,0.966412,-0.020025,-0.000037,0.000021
14,0.988105,-0.027044,-3.565163,-0.028862
15,0.966788,-0.018864,0.000020,-0.000070
16,0.965437,-0.020002,-0.000053,0.000029
17,0.989425,-0.025352,-0.818785,0.035662
18,0.966008,-0.020722,-0.000081,-0.000057
19,0.963607,-0.023290,-0.133802,0.000030
20,1.010547,-0.037436,-3.130634,-0.014692
21,0.966935,-0.017713,0.000008,0.000026
22,1.014524,-0.022999,-4.104282,-0.118895
23,0.967604,-0.018084,-0.000002,-0.000012
24,1.015933,-0.020678,-2.691728,0.011408
25,0.968345,-0.017264,0.000014,-0.000023
26,1.016326,-0.019599,-1.819050,0.154394
27,0.967540,-0.017432,-0.000069,0.000038
28,0.991270,-0.019398,-1.264672,-0.011586
29,0.965877,-0.021142,0.000053,0.000025
30,1.012950,-0.031250,-2.523737,-0.010682
31,1.000381,0.000710,12.638674,-0.021678
32,0.965608,-0.001273,-0.000060,-0.000010
33,0.960956,-0.019821,-0.000063,0.000024
34,0.964362,-0.001702,-1.026462,0.015914
35,0.960852,-0.019794,0.000024,0.000033
36,0.979279,-0.038459,-4.314571,-0.094970
37,0.955243,-0.027249,0.000002,0.000043
38,1.000811,-0.036808,-7.256574,-0.121776
39,0.955286,-0.028421,-0.133894,0.000041
40,0.978771,-0.027207,0.160679,-0.005731
