bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000118,0.000212,-0.000043,-0.000057
2,1.000071,-0.000196,0.000001,-0.000038
3,1.000094,-0.000625,0.000026,-0.000083
4,0.999687,0.000320,-0.000017,0.000044
5,0.999991,-0.000067,-0.000019,-0.000002
6,0.999742,-0.000275,0.000025,-0.000027
7,1.000270,0.000268,9.303561,3.067106
8,1.000698,-0.000092,0.000081,-0.000054
9,1.000497,0.000631,0.000048,-0.000058
10,0.999149,-0.000122,-0.000032,-0.000019
11,0.997789,-0.000510,0.000031,-0.000043
12,0.998584,-0.000534,-0.273112,-0.089799
13,0.997014,-0.000699,-0.648904,-0.213372
14,0.997083,0.000076,-0.997281,-0.327856
15,0.996601,-0.000428,-0.427901,-0.140798
16,0.995470,-0.000183,0.000004,-0.000088
17,0.995247,-0.000363,-0.876736,-0.288145
18,0.994837,-0.002237,0.000061,-0.000038
19,0.994822,-0.001676,-0.000002,0.000012
20,0.994657,-0.000683,-0.682955,-0.224489
21,0.996207,-0.000479,0.000012,0.000016
22,0.996298,-0.000216,-1.484285,-0.487820
23,0.995812,-0.001364,-0.746710,-0.245384
24,0.995637,-0.000192,-0.170637,-0.056080
25,0.993522,-0.001495,-1.195240,-0.392736
26,0.994198,-0.001252,-0.963001,-0.316495
27,0.993956,-0.001397,0.000021,0.000072
28,0.993613,-0.001665,-0.455283,-0.149645
29,0.993590,-0.001547,-0.000114,-0.000014
30,0.993819,-0.001431,-0.341526,-0.112225
