bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000793,0.001380,0.000052,-0.000000
2,1.000072,0.000040,-0.000019,0.000023
3,0.999958,-0.000036,-0.000062,-0.000014
4,1.001561,0.000021,0.000017,-0.000014
5,0.999029,-0.000079,0.000018,0.000029
6,0.999362,-0.000354,0.000056,-0.000002
7,0.999013,-0.000189,6.566567,2.162870
8,1.000694,-0.000153,0.000095,0.000037
9,1.000383,0.000478,-0.000070,-0.000032
10,0.999816,-0.000180,-0.000008,0.000018
11,0.998336,-0.000691,-0.000030,0.000049
12,0.999201,-0.000707,-0.178166,-0.058591
13,0.998318,0.000082,-0.423140,-0.139106
14,0.998139,-0.000320,-0.903634,-0.297090
15,0.997580,-0.000518,-0.278966,-0.091735
16,0.996890,-0.000272,0.000017,-0.000029
17,0.996942,-0.000686,-0.825031,-0.271120
18,0.996788,-0.000094,-0.000084,0.000037
19,0.997174,-0.000664,0.000024,0.000051
20,0.996279,-0.001060,-0.445310,-0.146364
21,0.996500,-0.000819,0.000086,-0.000136
22,0.998234,-0.000478,-0.967820,-0.318116
23,0.996885,-0.000782,-0.486823,-0.160147
24,0.996670,-0.001085,-0.111225,-0.036587
25,0.995320,-0.000562,-0.779410,-0.256151
26,0.995400,-0.000764,-0.627907,-0.206330
27,0.996569,-0.000953,-0.000010,-0.000001
28,0.995468,0.000312,-0.296834,-0.097527
29,0.995847,0.000036,-0.000008,-0.000049
30,0.995412,-0.000376,-0.222673,-0.073144
