,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
SAA3VNV0//D59-65,0.533,0.668,0.0,0.4,40.268,-3.158
SAAR4EJ8//D59-66,0.533,0.668,0.0,0.4,40.268,-3.158
SAF2AALR//D59-67,0.533,0.668,0.0,0.4,40.268,-3.155
SAHBCV02//D59-68,0.533,0.668,0.0,0.4,40.269,-3.154
SAHF4495//D59-68-1-CT,0.399,0.415,0.0,0.271,40.269,-3.154
SAJTES0E//D59-69,0.533,0.668,0.0,0.4,40.269,-3.153
SAM60AF0//D59-70,0.833,0.926,0.458,0.739,40.269,-3.152
SAOEBFMR//D59-71,0.533,0.668,0.0,0.4,40.268,-3.15
SAQ6WASR//D59-72,0.533,0.694,0.0,0.409,40.268,-3.149
SAS99VNN//D59-73,0.533,0.694,0.0,0.409,40.268,-3.148
SATW5JKO//D59-74,0.533,0.668,0.0,0.4,40.267,-3.147
SAX2EF03//D59-76-1 CT,0.465,0.542,0.0,0.336,40.267,-3.146
SAXCULNU//D59-76,0.533,0.642,0.0,0.392,40.267,-3.146
SB15HGUF//D59-77,0.533,0.694,0.0,0.409,40.267,-3.145
SB32L0DN//D59-78,0.533,0.694,0.0,0.409,40.267,-3.144
SB4W7LQT//D59-79-1 CT,0.465,0.439,0.0,0.301,40.267,-3.143
SB51WT27//D59-79,0.533,0.668,0.0,0.4,40.267,-3.143
SB65CXNO//D59-80 CT,0.533,0.668,0.0,0.4,40.267,-3.142
TAWHA09W//D59-75,0.533,0.642,0.0,0.392,40.267,-3.147
