,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
RQMVQX85//66-1-CT,0.119,0.249,0.0,0.123,40.062,-3.477
RQN6Q9V3//66,0.319,0.697,0.292,0.436,40.063,-3.477
RQN6QA89//68-5,0.204,0.511,0.0,0.239,40.066,-3.477
RQQ6IGW0//65,0.319,0.723,0.292,0.445,40.062,-3.475
RQSVBDBP//64,0.319,0.724,0.292,0.445,40.062,-3.474
RQVKLDLX//63,0.289,0.698,0.0,0.329,40.062,-3.472
RQX20JL3//59-19-CT,0.12,0.352,0.0,0.157,40.047,-3.471
RQXM7I3A//59-18,0.204,0.538,0.0,0.247,40.048,-3.471
RR09VDW6//62,0.29,0.698,0.0,0.329,40.062,-3.471
RR0BE8R1//59-17,0.504,0.796,0.75,0.683,40.048,-3.471
RR0XTIF1//59-16,0.234,0.564,0.292,0.363,40.049,-3.47
RR1K2GVE//59-15,0.234,0.564,0.292,0.363,40.05,-3.47
RR24QJAE//59-14,0.504,0.796,0.458,0.586,40.051,-3.47
RR2KGTFU//59-13,0.234,0.564,0.292,0.363,40.052,-3.469
RR30OABW//61,0.29,0.698,0.0,0.329,40.061,-3.469
RR356VST//59-12,0.234,0.564,0.292,0.363,40.053,-3.469
RR3NV07V//59-11,0.234,0.564,0.292,0.363,40.054,-3.469
RR4ATDQC//59-10,0.204,0.513,0.0,0.239,40.055,-3.469
RR4MSGN9//59-9,0.204,0.513,0.0,0.239,40.055,-3.468
RR5H9AOR//59-8,0.204,0.538,0.0,0.247,40.056,-3.468
RR5OPPNV//60,0.29,0.673,0.0,0.321,40.061,-3.468
RR6FFC1D//59-7,0.204,0.513,0.0,0.239,40.057,-3.467
RR6GW843//59-7-1-CT,0.034,0.192,0.0,0.076,40.057,-3.467
RR7L3RTG//59-6,0.204,0.538,0.0,0.247,40.058,-3.467
RR8NQHGC//59-5,0.204,0.513,0.0,0.239,40.058,-3.466
RR9JO7KN//59-4,0.204,0.513,0.0,0.239,40.059,-3.466
RR9L73WC//59,0.29,0.698,0.0,0.329,40.061,-3.466
RR9U6EJ3//59-1,0.204,0.513,0.0,0.239,40.061,-3.466
RRAB59FH//59-3-A1,0.12,0.352,0.0,0.157,40.06,-3.465
RRAPCNEN//59-3,0.234,0.538,0.292,0.355,40.06,-3.465
RRAVC7SP//59-3-B1,0.12,0.224,0.292,0.212,40.06,-3.465
RRBTI956//59-2,0.234,0.538,0.0,0.257,40.061,-3.465
RRDA61MW//58,0.29,0.698,0.0,0.329,40.062,-3.464
RRH7CSX5//57,0.29,0.673,0.0,0.321,40.063,-3.462
RRKD4KI7//56,0.29,0.699,0.0,0.33,40.064,-3.46
RRNHDFXP//55,0.29,0.699,0.0,0.33,40.065,-3.458
RRQJE09U//54,0.29,0.673,0.0,0.321,40.065,-3.457
RRRUAJIN//53,0.29,0.699,0.0,0.33,40.067,-3.456
RRTA6V0M//52,0.321,0.725,0.292,0.446,40.068,-3.455
RRULSVBA//51,0.291,0.7,0.0,0.33,40.07,-3.455
RRVUH5EV//50,0.441,0.803,0.458,0.567,40.072,-3.454
RRXRKN1Q//49,0.291,0.7,0.0,0.33,40.073,-3.453
RS1HX76K//48,0.291,0.674,0.0,0.322,40.074,-3.452
RS29E92M//47,0.291,0.7,0.0,0.33,40.075,-3.452
RS30TAWM//46,0.291,0.674,0.0,0.322,40.076,-3.451
RS40I8FR//45,0.291,0.674,0.0,0.322,40.078,-3.451
RS53WD64//44,0.291,0.675,0.0,0.322,40.079,-3.45
RT82CO7C//D34-3,0.206,0.515,0.0,0.24,40.088,-3.431
RT8L2QFF//D34-2,0.206,0.515,0.0,0.24,40.088,-3.43
RT9A9GXW//D34-1,0.206,0.515,0.0,0.24,40.087,-3.43
RTIES7OX//D31-1-CT,0.121,0.356,0.0,0.159,40.089,-3.425
RVWXPSPU//D6-1-CT,0.122,0.358,0.0,0.16,40.103,-3.381
SR2JKGWT/80,0.295,0.656,0.0,0.317,40.07,-3.488
SR31ARAI//74-5,0.204,0.537,0.0,0.247,40.062,-3.487
S5OHC14B//D8,0.263,0.494,0.0,0.252,40.353,-3.242
S5OKBRG7//D7,0.269,0.607,0.0,0.292,40.354,-3.241
S5ONBJQT//D6,0.274,0.617,0.0,0.297,40.355,-3.241
S5OQBC3W//D5,0.279,0.627,0.0,0.302,40.357,-3.241
S5OSJNC8//D4,0.284,0.637,0.0,0.307,40.358,-3.241
S5OVJFN8//D3,0.289,0.645,0.0,0.311,40.359,-3.241
S5OWAURA//D2X2,0.152,0.31,0.0,0.154,40.359,-3.241
S5P2246G//D1,0.3,0.666,0.0,0.322,40.361,-3.241
S5PE16WJ//D2,0.295,0.579,0.0,0.291,40.36,-3.241
S5PFI312//D2X1,0.152,0.31,0.0,0.154,40.36,-3.241
S5QI6POO//D9,0.258,0.485,0.0,0.248,40.351,-3.24
S5S3B69E//D10,0.253,0.475,0.0,0.243,40.35,-3.24
S5TGG2EI//D11,0.248,0.465,0.0,0.237,40.348,-3.239
S5VC2NN1//D12,0.243,0.558,0.0,0.267,40.347,-3.238
S5WXFFCR//D13,0.237,0.446,0.0,0.228,40.345,-3.237
S61G0G0W//D14,0.233,0.436,0.0,0.223,40.343,-3.236
S62DF24C//D15,0.227,0.452,0.0,0.226,40.342,-3.235
S62H68M6//D18-5CT,0.236,0.571,0.0,0.269,40.335,-3.235
S63NK5H8//D18-4,0.236,0.571,0.0,0.269,40.335,-3.234
S644J141//D16,0.222,0.442,0.0,0.221,40.341,-3.234
S651XKPV//D18-3,0.266,0.597,0.458,0.44,40.335,-3.234
S66F4H2C//D18-2,0.236,0.571,0.0,0.269,40.336,-3.233
S68C80M4//D18-1,0.236,0.571,0.0,0.269,40.337,-3.232
S68L7B9D//D18,0.211,0.5,0.0,0.237,40.337,-3.232
