bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000081,0.000471,64.079830,22.126873
7966,1.038022,-0.023360,-0.871532,-0.266760
7967,1.039712,-0.020512,-3.022427,-0.925204
7968,1.040334,-0.020206,-1.084630,-0.332033
7969,1.039105,-0.020170,-1.866166,-0.571298
7970,1.039156,-0.020689,-1.565587,-0.479305
7971,1.040000,-0.020271,-1.114720,-0.341266
7972,1.039607,-0.019850,-0.420784,-0.128852
7973,1.048012,-0.022728,-1.838800,-0.562874
7974,1.047438,-0.021995,-0.571024,-0.174830
7975,1.030795,-0.019741,-0.964452,-0.295233
7976,1.031066,-0.020087,-2.565540,-0.785426
7977,1.032021,-0.019784,-1.748639,-0.535325
7978,1.048371,-0.022548,-0.363431,-0.111257
7979,1.049019,-0.023473,-1.027316,-0.314481
7980,1.032205,-0.020148,-0.871592,-0.266779
7981,1.042259,-0.027539,-1.598353,-0.489313
7982,1.048691,-0.022131,-0.090135,-0.027639
7983,1.047873,-0.021992,-1.475395,-0.451686
7984,1.048234,-0.022439,-1.207625,-0.369679
7985,1.037119,-0.023230,-0.173037,-0.052987
7986,1.040225,-0.019982,-0.158849,-0.048612
7987,1.031779,-0.020779,-0.169136,-0.051804
7988,1.040299,-0.020885,-0.156818,-0.047987
7989,1.048989,-0.022124,-0.156623,-0.047858
7990,1.048102,-0.021677,-0.169027,-0.051727
7991,1.031802,-0.019747,-0.157820,-0.048351
7992,1.031030,-0.019627,-0.165001,-0.050438
7993,1.047221,-0.022632,-0.189087,-0.057870
7994,1.040682,-0.020355,-0.194307,-0.059477
7995,1.031059,-0.020554,-0.159470,-0.048854
7996,1.047622,-0.022170,-0.189418,-0.058012
7997,1.039606,-0.019608,-0.176397,-0.053929
7998,1.030078,-0.019533,-0.173008,-0.053003
7999,1.049619,-0.023807,-0.209821,-0.064154
8000,1.031834,-0.019619,-0.163000,-0.049912
8001,1.049245,-0.023168,-0.218004,-0.066750
8002,1.030271,-0.019661,-0.164276,-0.050257
8003,1.030365,-0.019828,-0.164229,-0.050302
8004,1.031532,-0.020542,-0.162735,-0.049847
8005,1.047498,-0.022896,-0.166013,-0.050810
8006,1.030817,-0.020267,-0.225022,-0.068906
8007,1.047235,-0.022651,-0.163068,-0.049896
8395,1.042678,-0.026935,-0.114852,-0.038877
8396,1.042082,-0.027401,-0.116674,-0.039702
8397,1.042806,-0.027598,-0.062885,-0.020956
