h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
-0.007,-0.009,-0.009,-0.009,-0.009,-0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
-0.007,-0.009,-0.009,-0.008,-0.008,-0.005,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001
-0.007,-0.008,-0.008,-0.008,-0.008,-0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
-0.007,-0.009,-0.009,-0.009,-0.009,-0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
-0.007,-0.009,-0.009,-0.009,-0.009,-0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.048,0.052,0.052,0.052,0.051,0.040,0.021,0.019,0.019,0.019,0.020,0.020,0.020,0.020,0.021,0.021,0.021,0.019,0.019,0.020,0.021,0.021,0.022,0.023
0.146,0.159,0.158,0.157,0.156,0.122,0.065,0.060,0.060,0.060,0.062,0.062,0.062,0.062,0.064,0.065,0.065,0.061,0.060,0.062,0.065,0.066,0.068,0.069
0.063,0.069,0.069,0.068,0.068,0.052,0.027,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.027,0.027,0.024,0.024,0.025,0.027,0.027,0.029,0.029
0.177,0.192,0.192,0.191,0.189,0.148,0.078,0.071,0.072,0.072,0.074,0.075,0.074,0.074,0.076,0.078,0.079,0.073,0.072,0.075,0.078,0.079,0.082,0.084
0.014,0.016,0.016,0.016,0.015,0.012,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006
0.112,0.122,0.122,0.121,0.120,0.094,0.049,0.045,0.045,0.045,0.046,0.047,0.047,0.047,0.048,0.049,0.049,0.045,0.045,0.047,0.049,0.050,0.052,0.053
0.033,0.035,0.035,0.035,0.035,0.027,0.014,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.013,0.013,0.013,0.014,0.014,0.015,0.015
0.130,0.142,0.141,0.140,0.139,0.109,0.058,0.053,0.053,0.053,0.055,0.056,0.056,0.055,0.057,0.058,0.059,0.054,0.054,0.056,0.059,0.059,0.061,0.062
0.095,0.103,0.103,0.102,0.101,0.078,0.040,0.036,0.036,0.036,0.038,0.038,0.038,0.038,0.039,0.040,0.040,0.037,0.036,0.038,0.040,0.041,0.042,0.043
0.079,0.086,0.086,0.085,0.084,0.065,0.033,0.030,0.030,0.030,0.031,0.031,0.031,0.031,0.032,0.033,0.034,0.030,0.030,0.031,0.034,0.034,0.035,0.036
0.162,0.176,0.175,0.174,0.172,0.135,0.071,0.066,0.066,0.066,0.068,0.069,0.068,0.068,0.070,0.072,0.072,0.067,0.066,0.069,0.072,0.072,0.075,0.077
