bus,vm_pu,va_degree,p_mw,q_mvar
1,1.000936,-0.000462,112.842638,48.193204
7966,1.025542,-0.038599,-1.403907,-0.550136
7967,1.033488,-0.031169,-4.868630,-1.907724
7968,1.034424,-0.031224,-1.747232,-0.684741
7969,1.032263,-0.031640,-3.005972,-1.177868
7970,1.031923,-0.032744,-2.521800,-0.988195
7971,1.033328,-0.032133,-1.795687,-0.703631
7972,1.033030,-0.031199,-0.677763,-0.265559
7973,1.041559,-0.030904,-2.961994,-1.160590
7974,1.042585,-0.029818,-0.919780,-0.360428
7975,1.025734,-0.025699,-1.553647,-0.608790
7976,1.027695,-0.025752,-4.132709,-1.619301
7977,1.027960,-0.024276,-2.816748,-1.103638
7978,1.042065,-0.029999,-0.585374,-0.229430
7979,1.043131,-0.030122,-1.654735,-0.648442
7980,1.026741,-0.024145,-1.403960,-0.550218
7981,1.030203,-0.041354,-2.574689,-1.008880
7982,1.042440,-0.029416,-0.145213,-0.056917
7983,1.042183,-0.029637,-2.376677,-0.931199
7984,1.041061,-0.030784,-1.945345,-0.762226
7985,1.024084,-0.039004,-0.278719,-0.109215
7986,1.034218,-0.030323,-0.255848,-0.100225
7987,1.026096,-0.026102,-0.272312,-0.106670
7988,1.032243,-0.032025,-0.252786,-0.098926
7989,1.043365,-0.030264,-0.252328,-0.098811
7990,1.043314,-0.029662,-0.272334,-0.106650
7991,1.028164,-0.025054,-0.254299,-0.099655
7992,1.027419,-0.024210,-0.265875,-0.104190
7993,1.040881,-0.030250,-0.304583,-0.119396
7994,1.033433,-0.031536,-0.312952,-0.122752
7995,1.026980,-0.024492,-0.256914,-0.100587
7996,1.042109,-0.030931,-0.305209,-0.119567
7997,1.032314,-0.031089,-0.284138,-0.111249
7998,1.026468,-0.025813,-0.278712,-0.109172
7999,1.042750,-0.029895,-0.337930,-0.132344
8000,1.027114,-0.025252,-0.262483,-0.102816
8001,1.043894,-0.029356,-0.351301,-0.137635
8002,1.027246,-0.025288,-0.264574,-0.103663
8003,1.025624,-0.024929,-0.264555,-0.103641
8004,1.026180,-0.025567,-0.262109,-0.102675
8005,1.041969,-0.030175,-0.267447,-0.104711
8006,1.026023,-0.024738,-0.362626,-0.142055
8007,1.041451,-0.029591,-0.262602,-0.102990
8395,1.028941,-0.041215,-0.161463,-0.070189
8396,1.027149,-0.042162,-0.164105,-0.071348
8397,1.028006,-0.041948,-0.088320,-0.037649
8398,1.028331,-0.041052,-0.104026,-0.045093
8399,1.027627,-0.042038,-0.061574,-0.026444
8400,1.040940,-0.030870,-0.047988,-0.020089
8401,1.041900,-0.031195,-0.249633,-0.108144
8402,1.042024,-0.031101,-0.190849,-0.081125
8403,1.028506,-0.041136,-0.109303,-0.045866
8404,1.025684,-0.025163,-0.059485,-0.025493
8405,1.026527,-0.025218,-0.133115,-0.056992
8406,1.026109,-0.025052,-0.038542,-0.015995
8407,1.029824,-0.042507,-0.182325,-0.077025
8408,1.025648,-0.024863,-0.128957,-0.054610
8409,1.025839,-0.024532,-0.025300,-0.010252
8410,1.026374,-0.024879,-0.095369,-0.041077
8411,1.028602,-0.041056,-0.069745,-0.029414
8412,1.040822,-0.030450,-0.185093,-0.078269
8413,1.028282,-0.040560,-0.102794,-0.044307
8414,1.026352,-0.024826,-0.046511,-0.019634
8415,1.029892,-0.040877,-0.088669,-0.037954
8416,1.028773,-0.041489,-0.108329,-0.045453
8417,1.027384,-0.025557,-0.092329,-0.039531
8418,1.026463,-0.024025,-0.180299,-0.076419
8419,1.028987,-0.041598,-0.112385,-0.047337
8420,1.028841,-0.041935,-0.064463,-0.027737
8421,1.026513,-0.026103,-0.102331,-0.044257
8422,1.026467,-0.024838,-0.105510,-0.045691
8423,1.026146,-0.025308,-0.165751,-0.072132
8424,1.041809,-0.031123,-0.252447,-0.109240
8425,1.041190,-0.029914,-0.062673,-0.027147
8426,1.042588,-0.030857,-0.147638,-0.063537
8427,1.041848,-0.030524,-0.046578,-0.019604
8428,1.029907,-0.042042,-0.032608,-0.013404
8429,1.028987,-0.041316,-4.097224,-1.348254
8430,1.026441,-0.025649,-0.066661,-0.028875
8431,1.027231,-0.025134,-0.140578,-0.061132
8432,1.041747,-0.030170,-0.183897,-0.077797
8433,1.041879,-0.029668,-0.185169,-0.078461
8434,1.042060,-0.030601,-0.116534,-0.049235
8435,1.026675,-0.024849,-0.176666,-0.074557
8436,1.027555,-0.025574,-0.067234,-0.028065
8437,1.026348,-0.025112,-0.138094,-0.059026
8438,1.042436,-0.030205,-0.041579,-0.017357
8439,1.026736,-0.024670,-0.043287,-0.018222
8440,1.041525,-0.029281,-0.234712,-0.101361
8441,1.041072,-0.029766,-0.150255,-0.064742
8442,1.043105,-0.029716,-0.047650,-0.020010
8443,1.043168,-0.029879,-0.047506,-0.020024
8444,1.041369,-0.030056,-0.213161,-0.091052
8445,1.029170,-0.041149,-0.052270,-0.022112
8446,1.042541,-0.030413,-0.128653,-0.054647
8447,1.040591,-0.030384,-0.173734,-0.073775
8448,1.041084,-0.029570,-0.053566,-0.022722
8449,1.043064,-0.030053,-0.120893,-0.051132
8450,1.044255,-0.029288,-0.000057,0.000002
8451,1.042495,-0.031380,-0.056699,-0.024251
8452,1.042849,-0.029523,-0.158880,-0.068791
8453,1.027198,-0.025182,-0.110242,-0.046404
8454,1.043046,-0.029787,-0.096827,-0.041882
8455,1.042994,-0.029702,-0.107078,-0.044809
8456,1.028830,-0.042524,-0.075430,-0.031715
8457,1.029189,-0.041068,-0.006973,-0.002779
8458,1.027915,-0.026136,-0.081302,-0.034580
8459,1.042134,-0.029536,-0.066265,-0.028763
8460,1.026661,-0.024914,-0.065725,-0.028434
8461,1.027160,-0.025159,-0.025231,-0.010282
8462,1.027371,-0.024167,-0.135329,-0.057771
8463,1.042564,-0.030301,-0.062668,-0.026967
8464,1.043476,-0.030260,-0.143953,-0.061691
8465,1.042570,-0.029827,-0.172496,-0.072451
8466,1.042609,-0.030085,-0.257346,-0.111760
8467,1.041870,-0.029332,-0.011452,-0.004611
8468,1.026942,-0.024565,-0.087508,-0.037487
8469,1.026424,-0.025348,-0.181463,-0.077039
8470,1.042686,-0.030922,-0.131269,-0.055966
8471,1.042781,-0.029868,-0.192607,-0.081481
8472,1.042209,-0.029917,-0.171789,-0.071968
8473,1.026547,-0.026285,-0.092726,-0.039680
8474,1.026907,-0.025760,-0.068681,-0.028719
8475,1.042879,-0.030089,-0.117412,-0.049534
8476,1.026966,-0.025483,-0.023619,-0.009663
8477,1.027346,-0.025290,-0.123516,-0.052963
8478,1.042765,-0.030820,-0.105627,-0.045633
8479,1.042558,-0.030286,-0.049368,-0.020794
8480,1.026652,-0.024797,-0.059888,-0.025768
8481,1.028173,-0.024497,-0.169506,-0.073534
8482,1.027475,-0.024519,-0.152259,-0.065455
8483,1.026628,-0.025230,-0.215271,-0.092079
8484,1.042390,-0.030169,-0.143902,-0.062229
8485,1.027514,-0.025261,-0.063871,-0.027552
8486,1.028172,-0.024551,0.000022,0.000065
8487,1.042909,-0.030327,-0.222035,-0.095127
8488,1.042815,-0.030846,-0.066961,-0.027936
8489,1.026997,-0.025265,-0.042471,-0.017793
8490,1.026876,-0.024540,-0.054151,-0.022953
8491,1.027969,-0.024371,-0.129533,-0.055296
8492,1.027514,-0.024700,-0.103251,-0.044763
8493,1.042783,-0.029689,-0.142148,-0.060877
8494,1.043432,-0.029174,-0.035607,-0.014706
8495,1.042867,-0.029345,-0.103689,-0.044882
8496,1.042980,-0.029387,-0.059704,-0.025606
8497,1.042332,-0.029990,-0.193485,-0.082422
8498,1.028231,-0.025259,-0.227555,-0.097662
8499,1.042182,-0.030062,-0.101736,-0.043995
8500,1.042790,-0.030157,-0.258190,-0.112269
8501,1.042096,-0.030066,-0.065645,-0.028340
8502,1.041761,-0.030512,-0.117258,-0.049193
8503,1.027202,-0.024633,-0.238120,-0.102685
8504,1.042394,-0.029457,-0.052683,-0.022305
8505,1.043398,-0.029524,-0.102705,-0.044434
8506,1.043803,-0.030719,-0.225343,-0.096911
8507,1.044004,-0.030418,-0.054591,-0.023235
8508,1.027530,-0.025152,-0.066304,-0.028736
8509,1.028498,-0.024567,-0.062281,-0.026731
8510,1.043637,-0.029565,-0.061357,-0.026371
8511,1.026875,-0.024889,-0.163688,-0.071005
8512,1.042580,-0.028826,-0.154714,-0.067109
8513,1.043291,-0.029813,-0.228098,-0.097969
8514,1.042753,-0.029277,-0.148942,-0.064309
8515,1.043209,-0.029641,-0.184343,-0.077830
8516,1.028671,-0.025144,-0.077130,-0.032660
8517,1.043719,-0.030332,-0.218698,-0.093766
8518,1.042799,-0.029745,-0.071624,-0.030087
8519,1.027688,-0.024008,-0.218160,-0.093295
8520,1.042577,-0.030699,-0.090126,-0.038487
8521,1.028062,-0.024573,-0.227125,-0.097516
8522,1.028036,-0.024309,-0.097247,-0.041741
8523,1.026837,-0.024871,-0.153988,-0.066346
8524,1.027744,-0.024648,-0.158370,-0.068451
8525,1.028987,-0.024464,-0.042572,-0.017767
8526,1.027902,-0.025787,-0.132069,-0.056455
8527,1.043271,-0.029864,-0.067082,-0.027947
8528,1.027304,-0.024192,-0.033727,-0.013958
8529,1.027523,-0.025144,-0.056490,-0.024074
8530,1.043625,-0.029930,-0.202320,-0.085910
8531,1.042799,-0.029318,-0.063884,-0.027538
8532,1.027478,-0.024116,-0.058680,-0.025148
8533,1.042221,-0.029686,-0.015214,-0.006115
8534,1.028267,-0.024775,-0.150676,-0.065139
8535,1.042409,-0.030416,-0.055233,-0.023535
8536,1.042778,-0.029535,-0.040401,-0.016830
8537,1.027261,-0.025655,-0.064128,-0.027686
