,SUPPORT_ID,EI,LA,MS,ACTION
100,RR4MSGN9//59-9,L,M,L,Keep the current maintenance
101,RR5H9AOR//59-8,L,M,L,Keep the current maintenance
102,RR5OPPNV//60,L,M,L,Keep the current maintenance
103,RR6FFC1D//59-7,L,M,L,Keep the current maintenance
104,RR6GW843//59-7-1-CT,L,L,L,Keep the current maintenance
105,RR7L3RTG//59-6,L,M,L,Keep the current maintenance
106,RR8NQHGC//59-5,L,M,L,Keep the current maintenance
107,RR9JO7KN//59-4,L,M,L,Keep the current maintenance
108,RR9L73WC//59,L,M,L,Keep the current maintenance
109,RR9U6EJ3//59-1,L,M,L,Keep the current maintenance
110,RRAB59FH//59-3-A1,L,L,L,Keep the current maintenance
111,RRAPCNEN//59-3,L,M,L,Keep the current maintenance
112,RRAVC7SP//59-3-B1,L,L,L,Keep the current maintenance
113,RRBTI956//59-2,L,M,L,Keep the current maintenance
114,RRDA61MW//58,L,M,L,Keep the current maintenance
115,RRH7CSX5//57,L,M,L,Keep the current maintenance
116,RRKD4KI7//56,L,M,L,Keep the current maintenance
117,RRNHDFXP//55,L,M,L,Keep the current maintenance
118,RRQJE09U//54,L,M,L,Keep the current maintenance
119,RRRUAJIN//53,L,M,L,Keep the current maintenance
120,RRTA6V0M//52,L,M,L,Keep the current maintenance
121,RRULSVBA//51,L,M,L,Keep the current maintenance
122,RRVUH5EV//50,L,H,L,Replacement
123,RRXRKN1Q//49,L,M,L,Keep the current maintenance
124,RS1HX76K//48,L,M,L,Keep the current maintenance
125,RS29E92M//47,L,M,L,Keep the current maintenance
126,RS30TAWM//46,L,M,L,Keep the current maintenance
127,RS40I8FR//45,L,M,L,Keep the current maintenance
128,RS53WD64//44,L,M,L,Keep the current maintenance
129,RT82CO7C//D34-3,L,M,L,Keep the current maintenance
130,RT8L2QFF//D34-2,L,M,L,Keep the current maintenance
131,RT9A9GXW//D34-1,L,M,L,Keep the current maintenance
132,RTIES7OX//D31-1-CT,L,L,L,Keep the current maintenance
133,RVWXPSPU//D6-1-CT,L,L,L,Keep the current maintenance
134,SR2JKGWT/80,L,M,L,Keep the current maintenance
135,SR31ARAI//74-5,L,M,L,Keep the current maintenance
136,S5OHC14B//D8,L,M,L,Keep the current maintenance
137,S5OKBRG7//D7,L,M,L,Keep the current maintenance
138,S5ONBJQT//D6,L,M,L,Keep the current maintenance
139,S5OQBC3W//D5,L,M,L,Keep the current maintenance
140,S5OSJNC8//D4,L,M,L,Keep the current maintenance
141,S5OVJFN8//D3,L,M,L,Keep the current maintenance
142,S5OWAURA//D2X2,L,L,L,Keep the current maintenance
143,S5P2246G//D1,L,M,L,Keep the current maintenance
144,S5PE16WJ//D2,L,M,L,Keep the current maintenance
145,S5PFI312//D2X1,L,L,L,Keep the current maintenance
146,S5QI6POO//D9,L,L,L,Keep the current maintenance
147,S5S3B69E//D10,L,L,L,Keep the current maintenance
148,S5TGG2EI//D11,L,L,L,Keep the current maintenance
149,S5VC2NN1//D12,L,M,L,Keep the current maintenance
150,S5WXFFCR//D13,L,L,L,Keep the current maintenance
151,S61G0G0W//D14,L,L,L,Keep the current maintenance
152,S62DF24C//D15,L,L,L,Keep the current maintenance
153,S62H68M6//D18-5CT,L,M,L,Keep the current maintenance
154,S63NK5H8//D18-4,L,M,L,Keep the current maintenance
155,S644J141//D16,L,L,L,Keep the current maintenance
156,S651XKPV//D18-3,L,M,L,Keep the current maintenance
157,S66F4H2C//D18-2,L,M,L,Keep the current maintenance
158,S68C80M4//D18-1,L,M,L,Keep the current maintenance
159,S68L7B9D//D18,L,M,L,Keep the current maintenance
160,S68WEX0Q//D18-1-1CT,L,L,L,Keep the current maintenance
161,S69FM59I//D17,L,L,L,Keep the current maintenance
162,S6B014RF//D19,L,L,L,Keep the current maintenance
163,S6DKBCST//D20,L,L,L,Keep the current maintenance
164,S6GW2MLG//D21,L,L,L,Keep the current maintenance
165,S6JOCF2T//D22,L,L,L,Keep the current maintenance
166,S6MND6XT//D23,L,L,L,Keep the current maintenance
167,S6POMA23//D24,L,L,L,Keep the current maintenance
168,S6TMKI7P//D25,L,L,L,Keep the current maintenance
169,S6WGD6QK//D26,L,L,L,Keep the current maintenance
170,S6X7S4UK//189-15-CT,L,L,L,Keep the current maintenance
171,S6XPQQ6E//189-14,L,M,L,Keep the current maintenance
172,S7058P58//189-13,L,M,L,Keep the current maintenance
173,S70SFJ8S//D27,L,L,L,Keep the current maintenance
174,S71467HF//189-12,L,M,L,Keep the current maintenance
175,S71G5AC8//189-11,L,M,L,Keep the current maintenance
176,S73NP0J2//189-10,L,M,L,Keep the current maintenance
177,S74SM4JO//D28,L,L,L,Keep the current maintenance
178,S75OJP8F//189-9,L,M,L,Keep the current maintenance
179,S77KVV12//D29,L,L,L,Keep the current maintenance
180,S78157MX//189-8,L,M,L,Keep the current maintenance
181,S783DILX//189-6-1-CT,L,L,L,Keep the current maintenance
182,S7AAX8X3//189-7,L,M,L,Keep the current maintenance
183,S7AKO0K3//189-6,L,M,L,Keep the current maintenance
184,S7ALFFNX//189-7-1,L,L,L,Keep the current maintenance
185,S7ATNEM5//D30,L,L,L,Keep the current maintenance
186,S7BSKRFB//189-5,L,M,L,Keep the current maintenance
187,S7CKR95N//D59-3-11,L,L,L,Keep the current maintenance
188,S7CN1LDA//189-4,L,M,L,Keep the current maintenance
189,S7CT14OH//D59-3-10-1-CT,L,L,L,Keep the current maintenance
190,S7CWQBXF//D59-3-10,L,L,L,Keep the current maintenance
191,S7DAPFTG//189-3,L,L,L,Keep the current maintenance
192,S7DXW5GE//D59-3-9,L,L,L,Keep the current maintenance
193,S7EULF2I//D31,L,L,L,Keep the current maintenance
194,S7FUA7XL//D59-3-8,L,L,L,Keep the current maintenance
195,S7I8CKKC//D59-3-7,L,L,L,Keep the current maintenance
196,S7K3X81U//D59-3-6,L,L,L,Keep the current maintenance
197,S7K8FV77//D59,L,L,L,Keep the current maintenance
198,S7KO6AMP//D32,L,L,L,Keep the current maintenance
199,S7LWSE9U//D59-3-5-2-CT,L,L,L,Keep the current maintenance
200,S7M72A6O//D59-3-3,L,L,L,Keep the current maintenance
201,S7MARHA0//D59-3-5,L,L,L,Keep the current maintenance
202,S7MBIWHE//D59-3-3-1-CT,L,L,L,Keep the current maintenance
203,S7ML9NUP//D59-3-5-1,L,L,L,Keep the current maintenance
204,S7N5XQHB//D59-3-2,L,L,L,Keep the current maintenance
205,S7NGG35B//D33,L,L,L,Keep the current maintenance
206,S7NHWU4V//D58,L,L,L,Keep the current maintenance
207,S7NTVW28//D59-3-4,L,L,L,Keep the current maintenance
208,S7OJ4NLW//D57,L,L,L,Keep the current maintenance
209,S7OPTMG9//D59-1,L,L,L,Keep the current maintenance
210,S7PI254F//D59-3-1,L,L,L,Keep the current maintenance
211,S7Q6HER3//D59-2,L,M,L,Keep the current maintenance
212,S7R0WCF7//D34,L,L,L,Keep the current maintenance
213,S7R36JTR//D59-3,L,M,L,Keep the current maintenance
214,S7RO508P//D56,L,L,L,Keep the current maintenance
215,S7S2TH5D//D59-4,L,M,L,Keep the current maintenance
216,S7T5I6LW//D59-5,L,M,L,Keep the current maintenance
217,S7TF8XFQ//D55,L,L,H,Keep the current maintenance
218,S7UGEPQA//D59-5-1,L,L,L,Keep the current maintenance
219,S7UK5WW1//D59-6,L,M,L,Keep the current maintenance
220,S7URMHAB//D35,L,L,L,Keep the current maintenance
221,S7VJ3F5T//D59-7,L,M,L,Keep the current maintenance
222,S7VJ3FC1//D59-5-2,L,L,L,Keep the current maintenance
223,S7WF15FQ//D59-5-3,L,L,L,Keep the current maintenance
224,S7WIQCFE//D59-8,L,M,L,Keep the current maintenance
225,S7XG6WWF//D59-5-4-CT,L,L,L,Keep the current maintenance
226,S7XMVW0M//D59-9,L,M,L,Keep the current maintenance
227,S8005LC0//D54,L,L,L,Keep the current maintenance
228,S806545G//D59-10,L,M,L,Keep the current maintenance
229,S8065866//D36,L,L,L,Keep the current maintenance
230,S814B5B6//D59-11,L,M,L,Keep the current maintenance
231,S81H1N5Q//D59-12-1-CT,L,L,L,Keep the current maintenance
232,S81W0I6H//D59-12,L,L,L,Keep the current maintenance
233,S82CXD65//D59-13,L,M,L,Keep the current maintenance
234,S83RL7FF//D53,L,L,L,Keep the current maintenance
235,S841T57R//D37,L,L,L,Keep the current maintenance
236,S84734ES//D59-14,L,M,L,Keep the current maintenance
237,S84736GE//D52,L,L,L,Keep the current maintenance
238,S84J2977//D53-1,L,L,L,Keep the current maintenance
239,S84NIXJ3//D38,L,L,L,Keep the current maintenance
240,S84NIXPC//D37-1,L,L,L,Keep the current maintenance
241,S84S1M0G//D37-1-1,L,L,L,Keep the current maintenance
242,S84WIA2F//D39,L,L,L,Keep the current maintenance
243,S8530W8B//D40,L,L,L,Keep the current maintenance
244,S853QBGQ//D53-2,L,M,L,Keep the current maintenance
245,S856Q41I//D51,L,L,L,Keep the current maintenance
246,S859PVF1//D42-2-CT,L,L,L,Keep the current maintenance
247,S85AHD29//D37-1-3CT,L,L,L,Keep the current maintenance
248,S85GGRDN//D59-15,L,M,L,Keep the current maintenance
249,S85IP4H6//D59-16-1CT,L,L,L,Keep the current maintenance
250,S85JGM0G//D50,L,L,L,Keep the current maintenance
251,S85UOAUI//D42-1,L,M,L,Keep the current maintenance
252,S860FGKE//D53-3,L,M,L,Keep the current maintenance
253,S8646LTF//D59-16,L,M,L,Keep the current maintenance
254,S865NLKC//D41,L,L,L,Keep the current maintenance
255,S86A6896//D53-4,L,M,L,Keep the current maintenance
256,S86FECA3//D49,L,L,L,Keep the current maintenance
257,S86G5S8R//D42,L,L,L,Keep the current maintenance
258,S86JV1D6//D43,L,L,L,Keep the current maintenance
259,S86ODNJ7//D44,L,L,L,Keep the current maintenance
260,S86S4VRT//D37-1-X-1,L,L,L,Keep the current maintenance
261,S86UD7R5//D45,L,L,L,Keep the current maintenance
262,S86WLITM//D46,L,L,L,Keep the current maintenance
263,S872CQ0G//D47,L,L,L,Keep the current maintenance
264,S873TJ4G//D59-17,L,M,L,Keep the current maintenance
265,S8763X5V//D48,L,L,L,Keep the current maintenance
266,S87L2SME//D44-1,L,L,L,Keep the current maintenance
267,S885QRIM//D59-18,L,M,L,Keep the current maintenance
