Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RR9L73WC//59,7.706,6.362,3.143,4.759
RR9U6EJ3//59-1,6.609,5.47,2.777,4.164
RRAB59FH//59-3-A1,5.501,4.593,2.767,3.723
RRAPCNEN//59-3,6.599,5.479,3.129,4.339
RRAVC7SP//59-3-B1,5.491,4.613,0.978,2.822
RRBTI956//59-2,6.595,5.487,3.143,4.359
RRDA61MW//58,7.691,6.371,3.135,4.775
RRH7CSX5//57,7.691,6.349,2.786,4.62
RRKD4KI7//56,7.708,6.37,3.12,4.801
RRNHDFXP//55,7.727,6.351,3.122,4.79
RRQJE09U//54,7.699,6.362,2.763,4.609
RRRUAJIN//53,7.682,6.355,3.128,4.786
RRTA6V0M//52,7.691,6.355,3.495,4.946
RRULSVBA//51,7.703,6.373,3.128,4.783
RRVUH5EV//50,7.692,6.368,4.592,5.49
RRXRKN1Q//49,7.697,6.361,3.126,4.773
RS1HX76K//48,7.718,6.37,2.758,4.581
RS29E92M//47,7.691,6.352,3.121,4.784
RS30TAWM//46,7.704,6.371,2.773,4.607
RS40I8FR//45,7.724,6.354,2.766,4.637
RS53WD64//44,7.72,6.368,2.771,4.626
RT82CO7C//D34-3,6.629,5.488,2.77,4.152
RT8L2QFF//D34-2,6.613,5.484,2.76,4.142
RT9A9GXW//D34-1,6.609,5.494,2.769,4.183
RTIES7OX//D31-1-CT,5.516,4.611,2.762,3.714
RVWXPSPU//D6-1-CT,5.538,4.627,2.773,3.731
SR2JKGWT/80,7.731,6.414,2.413,4.433
SR31ARAI//74-5,6.595,5.456,3.117,4.35
S5OHC14B//D8,7.356,6.08,0.97,3.58
S5OKBRG7//D7,7.429,6.152,2.406,4.301
S5ONBJQT//D6,7.475,6.19,2.402,4.337
S5OQBC3W//D5,7.57,6.232,2.398,4.359
S5OSJNC8//D4,7.63,6.289,2.398,4.423
S5OVJFN8//D3,7.697,6.35,2.413,4.436
S5OWAURA//D2X2,5.91,4.927,1.337,3.182
S5P2246G//D1,7.841,6.434,2.402,4.474
S5PE16WJ//D2,7.753,6.418,1.332,3.9
S5PFI312//D2X1,5.927,4.94,1.331,3.154
S5QI6POO//D9,7.311,6.044,0.97,3.533
S5S3B69E//D10,7.227,5.978,0.979,3.522
S5TGG2EI//D11,7.158,5.94,0.974,3.48
S5VC2NN1//D12,7.073,5.867,2.402,4.158
S5WXFFCR//D13,7.021,5.827,0.978,3.428
S61G0G0W//D14,6.95,5.761,0.976,3.41
S62DF24C//D15,6.891,5.706,1.337,3.568
S62H68M6//D18-5CT,7.003,5.795,2.758,4.311
S63NK5H8//D18-4,7.002,5.797,2.768,4.319
S644J141//D16,6.811,5.674,1.342,3.55
S651XKPV//D18-3,6.99,5.808,3.118,4.502
S66F4H2C//D18-2,6.987,5.802,2.761,4.301
S68C80M4//D18-1,7.01,5.805,2.761,4.301
S68L7B9D//D18,6.678,5.547,2.396,4.02
S68WEX0Q//D18-1-1CT,6.144,5.113,1.339,3.253
S69FM59I//D17,6.777,5.597,0.974,3.311
S6B014RF//D19,6.616,5.512,0.98,3.262
S6DKBCST//D20,6.542,5.452,0.97,3.223
S6GW2MLG//D21,6.474,5.389,0.97,3.207
S6JOCF2T//D22,6.43,5.318,0.979,3.196
S6MND6XT//D23,6.344,5.269,0.973,3.171
S6POMA23//D24,6.286,5.231,0.972,3.143
S6TMKI7P//D25,6.194,5.165,2.406,3.833
S6WGD6QK//D26,6.126,5.116,0.973,3.07
S6X7S4UK//189-15-CT,5.988,4.978,2.776,3.901
S6XPQQ6E//189-14,6.853,5.688,2.769,4.253
S7058P58//189-13,6.837,5.671,2.781,4.263
S70SFJ8S//D27,6.084,5.064,2.414,3.765
S71467HF//189-12,6.85,5.686,4.569,5.173
S71G5AC8//189-11,6.834,5.676,2.767,4.258
S73NP0J2//189-10,6.851,5.679,2.768,4.237
S74SM4JO//D28,6.021,5.004,0.972,3.04
S75OJP8F//189-9,6.844,5.681,2.761,4.242
S77KVV12//D29,5.956,4.967,0.975,3.011
S78157MX//189-8,6.845,5.688,2.762,4.264
S783DILX//189-6-1-CT,5.146,4.31,2.782,3.57
S7AAX8X3//189-7,6.845,5.682,2.752,4.25
S7AKO0K3//189-6,6.856,5.684,2.778,4.255
S7ALFFNX//189-7-1,5.983,4.979,2.772,3.894
S7ATNEM5//D30,5.888,4.914,0.968,2.977
S7BSKRFB//189-5,6.868,5.708,3.113,4.462
S7CKR95N//D59-3-11,6.08,5.062,2.758,3.971
S7CN1LDA//189-4,6.859,5.682,3.129,4.461
S7CT14OH//D59-3-10-1-CT,4.366,3.682,2.781,3.261
S7CWQBXF//D59-3-10,6.075,5.067,2.765,3.956
S7DAPFTG//189-3,6.852,5.669,1.335,3.555
S7DXW5GE//D59-3-9,6.095,5.07,2.763,3.971
S7EULF2I//D31,5.803,4.853,0.976,2.937
S7FUA7XL//D59-3-8,6.088,5.072,2.784,3.951
S7I8CKKC//D59-3-7,6.083,5.079,3.119,4.115
S7K3X81U//D59-3-6,6.085,5.07,2.773,3.946
S7K8FV77//D59,3.957,3.364,2.414,2.89
S7KO6AMP//D32,5.766,4.796,0.973,2.919
S7LWSE9U//D59-3-5-2-CT,4.354,3.686,2.767,3.254
S7M72A6O//D59-3-3,6.082,5.059,2.767,3.951
S7MARHA0//D59-3-5,6.096,5.069,2.766,3.952
S7MBIWHE//D59-3-3-1-CT,4.358,3.691,2.756,3.261
S7ML9NUP//D59-3-5-1,5.227,4.376,2.769,3.615
S7N5XQHB//D59-3-2,6.079,5.089,2.775,3.969
S7NGG35B//D33,5.682,4.739,0.973,2.893
S7NHWU4V//D58,4.002,3.407,0.978,2.206
S7NTVW28//D59-3-4,6.074,5.068,2.756,3.969
S7OJ4NLW//D57,4.083,3.458,2.414,2.96
S7OPTMG9//D59-1,6.969,5.774,0.979,3.406
S7PI254F//D59-3-1,6.066,5.07,2.783,3.961
S7Q6HER3//D59-2,6.955,5.777,2.769,4.301
S7R0WCF7//D34,5.605,4.701,0.973,2.871
S7R36JTR//D59-3,6.957,5.772,2.756,4.305
S7RO508P//D56,4.133,3.517,0.975,2.261
S7S2TH5D//D59-4,6.946,5.763,2.766,4.314
S7T5I6LW//D59-5,6.947,5.774,2.775,4.292
S7TF8XFQ//D55,4.215,3.572,1.329,2.468
S7UGEPQA//D59-5-1,6.095,5.079,2.766,3.95
S7UK5WW1//D59-6,6.95,5.767,3.115,4.463
S7URMHAB//D35,5.55,4.644,2.409,3.562
S7VJ3F5T//D59-7,6.966,5.785,3.132,4.491
S7VJ3FC1//D59-5-2,6.091,5.065,2.756,3.968
S7WF15FQ//D59-5-3,6.122,5.072,2.765,3.943
S7WIQCFE//D59-8,6.968,5.768,2.77,4.305
S7XG6WWF//D59-5-4-CT,5.241,4.388,2.748,3.613
S7XMVW0M//D59-9,6.961,5.768,3.146,4.481
S8005LC0//D54,4.281,3.634,2.412,3.027
S806545G//D59-10,6.977,5.756,3.139,4.498
S8065866//D36,5.469,4.591,0.976,2.797
S814B5B6//D59-11,6.939,5.769,3.128,4.479
S81H1N5Q//D59-12-1-CT,5.22,4.382,2.77,3.59
S81W0I6H//D59-12,6.969,5.772,1.339,3.604
