Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.63,5.751,3.288,4.602
RPUWQIFO//74-22-5-CT,4.481,3.809,3.284,3.608
RPWULH1G//74-22-3,5.618,4.699,4.017,4.431
RQ0W7MUL//74-22-2,5.62,4.708,5.136,4.985
RQ2HC35J//74-27,6.756,6.654,2.916,4.897
RQ2NBO45//79,7.877,6.479,2.88,4.803
RQ2O32O0//74-26,6.755,6.637,3.287,5.063
RQ2O34P5//74-2-1-CT,4.49,3.792,2.908,3.425
RQ2O35AP//81,7.844,6.484,2.915,4.813
RQ2RSBDX//74-10-1-CT,4.498,3.813,2.915,3.429
RQ2TB80M//74-3,6.754,5.608,2.899,4.36
RQ2U2NH2//78,7.86,6.493,2.911,4.817
RQ2VJJ4Q//74-4,6.733,5.606,5.186,5.498
RQ2WAWCD//74-25,6.742,6.648,3.291,5.085
RQ2WB0PA//79-1-CT,5.614,4.68,3.294,4.069
RQ3227SQ//77,7.872,6.489,2.901,4.777
RQ351XNN//74-3-1-CT,4.489,3.814,2.897,3.426
RQ351XTF//74,7.883,6.504,2.912,4.811
RQ35REIC//74-6,6.716,5.607,5.161,5.491
RQ36IS0S//74-24,6.75,6.631,3.267,5.134
RQ36IS7R//74-22-1,5.62,4.696,4.791,4.85
RQ36ITU7//74-2,6.759,5.6,2.893,4.375
RQ37A8RE//74-28,6.751,6.648,4.779,5.807
RQ38R6MC//74-7,6.738,5.61,3.274,4.537
RQ38R73O//74-1,6.734,5.597,2.9,4.37
RQ38R785//76,7.854,6.49,2.893,4.805
RQ3D9RJP//74-23,6.754,6.648,3.29,5.099
RQ3E19WA//74-8,6.759,5.596,3.273,4.532
RQ3E1AI0//75,7.864,6.49,3.256,5.01
RQ3HQH2A//74-10,6.745,5.611,4.771,5.292
RQ3IHW6E//74-9,6.741,5.598,3.289,4.514
RQ3K0TFG//82,7.859,6.485,7.037,6.885
RQ3M949X//74-22,6.737,5.603,3.285,4.549
RQ3OHGEU//74-11,6.723,5.612,3.272,4.558
RQ3TPIUD//74-21,6.757,5.598,5.138,5.474
RQ3TPJNW//74-12,6.73,5.622,3.277,4.548
RQ4087VA//74-13,6.745,5.609,3.287,4.544
RQ44OTL4//74-20,6.722,5.603,5.161,5.46
RQ44OU50//74-14,6.732,5.594,3.262,4.542
RQ4AOEG4//74-15,6.741,5.586,3.277,4.529
RQ4C7A7X//74-19,6.745,5.6,2.907,4.336
RQ4CWPID//74-16,6.75,5.598,3.273,4.547
RQ4CWRDB//83,7.88,6.507,3.268,4.992
RQ4HFDQA//74-17,6.748,5.611,3.28,4.555
RQ4KF5UF//74-18,6.748,5.608,3.287,4.555
RQ4O6CAL//74-29,6.744,6.652,2.893,4.884
RQ4RVMH0//84,7.839,6.513,2.889,4.802
RQ52UWT5//80-1-CT,5.603,4.695,2.891,3.898
RQ5BU910//73,7.862,6.515,3.28,5.019
RQ5HTS99//85,7.848,6.485,2.896,4.824
RQ61SCFJ//74-30,6.735,6.654,3.673,5.248
RQ6M1DXH//86,7.845,6.515,2.895,4.829
RQ6R9HBI//86-1-CT,5.611,4.699,2.903,3.872
RQ7JG075//87,7.834,6.484,2.913,4.81
RQ7SF9TF//72,7.88,6.495,3.284,5.033
RQ82N36S//74-31,6.75,6.646,3.646,5.227
RQ82N3G8//74-33-5,5.616,5.75,1.766,3.84
RQ8AUX4A//74-33-6-CT,4.501,4.863,1.781,3.386
RQ8EM99R//88,7.854,6.477,3.659,5.182
RQ8UCGAG//74-33-4,5.619,5.734,7.06,6.506
RQ9PISCN//89,7.87,6.503,3.279,5.0
RQ9W9OJR//74-32,6.732,6.638,7.044,6.952
RQA9HCG7//74-33-3,5.625,5.741,7.059,6.517
RQAA8TM4//71,7.86,6.516,3.272,5.026
RQAKP3CS//90,7.853,6.504,2.902,4.795
RQAUFPTH//74-33-2,5.633,5.731,7.028,6.496
RQB7NGUI//91,7.853,6.474,2.897,4.821
RQBDN1ED//92-CT,6.737,5.599,2.901,4.353
RQBMM8KX//74-33-1,5.62,5.749,2.144,4.061
